LEO_Sat.UTCGregorian,LEO_Sat.Earth.Altitude,LEO_Sat.Earth.Latitude,LEO_Sat.Earth.Longitude
19 Mar 2024 00:00:00.000,499.863700028026,-0.002082517457726173,93.27724995437374
19 Mar 2024 00:01:00.000,499.9354725191906,3.78799444525143,92.48741334708417
19 Mar 2024 00:03:00.753,500.5075461384149,11.41267007277695,90.87863483477808
19 Mar 2024 00:05:14.914,501.7615319981132,19.87289776942319,89.01808431469921
19 Mar 2024 00:07:18.841,503.3972895845773,27.66992865441155,87.17178383534488
19 Mar 2024 00:09:18.631,505.2856259874179,35.18272649564894,85.19506399685528
19 Mar 2024 00:11:22.406,507.398896613443,42.91077036313241,82.83621146934304
19 Mar 2024 00:13:36.693,509.6787657205941,51.23714044138535,79.67165635643651
19 Mar 2024 00:15:49.349,511.7062893536931,59.36699922709946,75.42442400276903
19 Mar 2024 00:17:53.124,513.2211862449203,66.79231722492189,69.43228985919936
19 Mar 2024 00:19:57.684,514.2387211915884,73.90198768168968,58.75933537019701
19 Mar 2024 00:22:07.868,514.6508938816878,80.08173091476684,33.31065121941216
19 Mar 2024 00:24:20.426,514.3240606537865,81.49697910050804,-20.74297845002473
19 Mar 2024 00:26:23.054,513.3476530797034,76.89091514773637,-55.67001213585556
19 Mar 2024 00:28:24.552,511.788168208459,70.30474562134623,-70.40979631477404
19 Mar 2024 00:30:30.100,509.6534514598807,62.90095035022408,-78.20691022010195
19 Mar 2024 00:32:45.199,506.9220341049422,54.67718985617439,-83.32955219537413
19 Mar 2024 00:34:51.152,504.1539182472607,46.89296749060767,-86.6926582397289
19 Mar 2024 00:36:51.420,501.4920259207656,39.39750377745423,-89.2253085686545
19 Mar 2024 00:38:54.483,498.9312150849282,31.68488278629748,-91.40999367870643
19 Mar 2024 00:40:53.099,496.7820298750066,24.22165088701304,-93.2721034359343
19 Mar 2024 00:43:02.483,494.958913639286,16.05755263918256,-95.1334449150696
19 Mar 2024 00:45:03.798,493.8647901132326,8.388191786780999,-96.78333382458051
19 Mar 2024 00:47:06.251,493.4425124196569,0.6396756927617088,-98.40418489054603
19 Mar 2024 00:49:11.984,493.7525678166039,-7.316918667002831,-100.0653611336334
19 Mar 2024 00:51:25.343,494.8782932234672,-15.74868050977708,-101.8731637856917
19 Mar 2024 00:53:30.719,496.6026716314,-23.66092978004259,-103.6696428740121
19 Mar 2024 00:55:32.165,498.7679901763595,-31.30394199481422,-105.5643724335722
19 Mar 2024 00:57:36.315,501.3305309451462,-39.08636749604518,-107.7540645470883
19 Mar 2024 00:59:34.815,503.9420349031898,-46.47423560257167,-110.2255797586568
19 Mar 2024 01:01:46.274,506.8255742354177,-54.60144640874432,-113.7067423093026
19 Mar 2024 01:03:50.003,509.3361171032448,-62.14209266224134,-118.2875793271285
19 Mar 2024 01:05:53.163,511.4715532965411,-69.44124603289465,-125.4755526322292
19 Mar 2024 01:07:58.943,513.1391646702768,-76.35541853540039,-139.5816542576445
19 Mar 2024 01:10:11.282,514.2238663877542,-81.47807658476241,-175.9261389729541
19 Mar 2024 01:12:16.977,514.5627393668938,-80.35869255355097,132.0630271194349
19 Mar 2024 01:14:18.063,514.2502184314108,-74.81371048673712,106.3078314172744
19 Mar 2024 01:16:20.927,513.3376642973371,-67.8879347023576,94.68645578544337
19 Mar 2024 01:18:30.726,511.8206612074046,-60.13273975618002,87.99453020991081
19 Mar 2024 01:20:38.654,509.9120829216945,-52.30633044041922,83.72834552719357
19 Mar 2024 01:22:40.699,507.8684417649974,-44.75083350261959,80.71877509121533
19 Mar 2024 01:24:44.795,505.7408962734744,-37.01301601117101,78.25171376424994
19 Mar 2024 01:26:54.155,503.6593589948297,-28.90628997484523,76.06156463763824
19 Mar 2024 01:29:03.820,501.8970932757184,-20.75127608267982,74.10609703938702
19 Mar 2024 01:31:07.349,500.6652839930939,-12.96352656764335,72.37853572088864
19 Mar 2024 01:33:10.532,499.9738480339347,-5.186754796382901,70.72880432318456
19 Mar 2024 01:35:18.277,499.8836354949763,2.882578521760033,69.04645757486036
19 Mar 2024 01:37:33.278,500.4899708214689,11.40725682333534,67.24982905822408
19 Mar 2024 01:39:38.597,501.6477848647055,19.31037464971532,65.51546423482165
19 Mar 2024 01:41:39.483,503.2150639536221,26.91782595909988,63.72724665502036
19 Mar 2024 01:43:42.781,505.1411126378416,34.65303182971508,61.7125069668361
19 Mar 2024 01:45:53.924,507.3785881234908,42.84261981157456,59.22829985286227
19 Mar 2024 01:48:05.886,509.6224627486472,51.02610028393662,56.13229041737946
19 Mar 2024 01:50:11.239,511.5546084533216,58.71483464748509,52.19836982805057
19 Mar 2024 01:52:16.050,513.1156930629913,66.21982557167284,46.38251519509122
19 Mar 2024 01:54:23.000,514.1878470851161,73.50342249638298,35.97961092149934
19 Mar 2024 01:56:33.132,514.6344363472963,79.80709407233422,11.84800903062919
19 Mar 2024 01:58:36.089,514.390866446457,81.75894605265654,-37.18088164135466
19 Mar 2024 02:00:35.835,513.524882218082,77.84632733193348,-75.52062731137936
19 Mar 2024 02:02:38.745,512.0314017766113,71.35469583090132,-92.4390935530801
19 Mar 2024 02:04:53.147,509.7997209827909,63.47487373514114,-101.3757055461308
19 Mar 2024 02:07:04.018,507.1795328383896,55.52346150797138,-106.5240850750065
19 Mar 2024 02:09:04.647,504.5388584004568,48.07885743813945,-109.8672449878462
19 Mar 2024 02:11:03.553,501.8917327910749,40.67644071657813,-112.4559544225868
19 Mar 2024 02:13:09.565,499.2252531914382,32.78495010525687,-114.7462538408857
