Ground_Station.UTCGregorian,Ground_Station.EarthMJ2000Eq.VX,Ground_Station.EarthMJ2000Eq.VY,Ground_Station.EarthMJ2000Eq.VZ
19 Mar 2024 00:00:00.000,-0.07304873049542183,-0.07491652936394257,0.0001741268114908791
19 Mar 2024 00:01:00.000,-0.07272025325439402,-0.07523542004193728,0.0001733689931248722
19 Mar 2024 00:03:00.753,-0.0720549632823433,-0.075872830832846,0.0001718338389681149
19 Mar 2024 00:05:14.914,-0.07130925121833545,-0.0765741175036621,0.0001701125903532061
19 Mar 2024 00:07:18.841,-0.07061435920761308,-0.07721539741379925,0.0001685081747422348
19 Mar 2024 00:09:18.631,-0.06993718116261342,-0.07782927816527925,0.0001669442334915615
19 Mar 2024 00:11:22.406,-0.06923186872952262,-0.07845734345672227,0.0001653148807210603
19 Mar 2024 00:13:36.693,-0.06846028108188275,-0.07913151641776971,0.0001635319282827459
19 Mar 2024 00:15:49.349,-0.0676916208565356,-0.07979004963111574,0.0001617552374435921
19 Mar 2024 00:17:53.124,-0.06696870232009554,-0.08039776739318286,0.0001600838274694079
19 Mar 2024 00:19:57.684,-0.06623569565573553,-0.08100272373883796,0.0001583886611917211
19 Mar 2024 00:22:07.868,-0.0654637540700566,-0.08162785123740159,0.0001566029932746754
19 Mar 2024 00:24:20.426,-0.06467167221907946,-0.08225682085780582,0.000154770257178496
19 Mar 2024 00:26:23.054,-0.06393354144281013,-0.08283183306980936,0.0001530619268066502
19 Mar 2024 00:28:24.552,-0.06319717179796656,-0.08339501356072061,0.0001513572702009307
19 Mar 2024 00:30:30.100,-0.06243105000104542,-0.08397008598110813,0.0001495833212446736
19 Mar 2024 00:32:45.199,-0.06160079549925147,-0.08458104935115578,0.000147660402509374
19 Mar 2024 00:34:51.152,-0.06082136300347665,-0.08514325720729637,0.0001458547538403877
19 Mar 2024 00:36:51.420,-0.06007232728937729,-0.0856733823470939,0.000144119132354053
19 Mar 2024 00:38:54.483,-0.05930109118510055,-0.08620901371102588,0.0001423316769545018
19 Mar 2024 00:40:53.099,-0.05855321294598293,-0.08671871311883686,0.0001405979835148799
19 Mar 2024 00:43:02.483,-0.05773244122271546,-0.08726728890752287,0.0001386948966620142
19 Mar 2024 00:45:03.798,-0.05695819066446201,-0.08777459480905785,0.0001368992849900302
19 Mar 2024 00:47:06.251,-0.05617215694830917,-0.08827969334640931,0.0001350759644653003
19 Mar 2024 00:49:11.984,-0.05536040870337808,-0.08879099688033906,0.0001331925984611213
19 Mar 2024 00:51:25.343,-0.05449434133998193,-0.08932515475542532,0.0001311827678262147
19 Mar 2024 00:53:30.719,-0.05367542026121094,-0.08981963184649762,0.0001292819389617225
19 Mar 2024 00:55:32.165,-0.05287788385942441,-0.09029145518335156,0.0001274303722184663
19 Mar 2024 00:57:36.315,-0.05205830985976236,-0.09076646041643768,0.0001255272637500405
19 Mar 2024 00:59:34.815,-0.0512720479295758,-0.09121291311108226,0.0001237011526354965
19 Mar 2024 01:01:46.274,-0.05039533247612782,-0.09170021472948615,0.0001216645568350881
19 Mar 2024 01:03:50.003,-0.04956593040947281,-0.09215116887297875,0.0001197374827216736
19 Mar 2024 01:05:53.163,-0.0487363401949235,-0.09259259681194977,0.0001178096010958871
19 Mar 2024 01:07:58.943,-0.04788504006476702,-0.09303570948984416,0.0001158308883294589
19 Mar 2024 01:10:11.282,-0.04698500710154313,-0.09349347512153547,0.0001137384916902161
19 Mar 2024 01:12:16.977,-0.04612610018143762,-0.09392020078240952,0.0001117413154784622
19 Mar 2024 01:14:18.063,-0.04529502305248793,-0.09432381750039098,0.0001098084935067101
19 Mar 2024 01:16:20.927,-0.04444813666308642,-0.09472584249878675,0.0001078385476189751
19 Mar 2024 01:18:30.726,-0.04354957123642654,-0.09514230069512257,0.0001057480023972654
19 Mar 2024 01:20:38.654,-0.04266014574609042,-0.09554441341493168,0.0001036783326619072
19 Mar 2024 01:22:40.699,-0.04180815445063516,-0.09592028773180644,0.0001016954129873444
19 Mar 2024 01:24:44.795,-0.04093845505085723,-0.09629468668017938,9.967092226119685e-05
19 Mar 2024 01:26:54.155,-0.04002828996734006,-0.09667657526518092,9.755185325962814e-05
19 Mar 2024 01:29:03.820,-0.03911241211094512,-0.09705072814326463,9.54190938044959e-05
19 Mar 2024 01:31:07.349,-0.03823661515696461,-0.09739910811050018,9.337930714565418e-05
19 Mar 2024 01:33:10.532,-0.03736019100495629,-0.09773863874933852,9.133770963215421e-05
19 Mar 2024 01:35:18.277,-0.03644811537113419,-0.09808241761939394,8.921269536745008e-05
19 Mar 2024 01:37:33.278,-0.03548080060252645,-0.09843647162453363,8.695857555755133e-05
19 Mar 2024 01:39:38.597,-0.03457978799165501,-0.09875659360544053,8.485858687344828e-05
19 Mar 2024 01:41:39.483,-0.0337079016880435,-0.0990575803393999,8.282614473300074e-05
19 Mar 2024 01:43:42.781,-0.03281591961862335,-0.0993566435557372,8.074651668463769e-05
19 Mar 2024 01:45:53.924,-0.03186428383079873,-0.0996659167843781,7.852743114541293e-05
19 Mar 2024 01:48:05.886,-0.03090375351794762,-0.09996792444499707,7.628721397876951e-05
19 Mar 2024 01:50:11.239,-0.02998868343199737,-0.1002462322807003,7.415266043567248e-05
19 Mar 2024 01:52:16.050,-0.02907508071786554,-0.1005150148648295,7.202118041918225e-05
19 Mar 2024 01:54:23.000,-0.02814334622685957,-0.1007798635820848,6.984704142398058e-05
19 Mar 2024 01:56:33.132,-0.02718575905124673,-0.1010423854254989,6.761220461581544e-05
