,UTC Gregorian,altitude (km),x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity
0,2024-03-19 00:00:00.000,499.863700028026,-1.263468102680324e-12,-6878.0,0.0,-1.059480836982605,1.946234723653059e-16,7.538597868912315
1,2024-03-19 00:01:00.000,499.9354725191906,-63.52157946981078,-6862.818279287264,451.9820489845856,-1.057125960857747,0.5058689456048359,7.521910082529799
2,2024-03-19 00:03:00.753,500.5075461384149,-190.2234144138081,-6740.632307832566,1353.514527635023,-1.038277773146917,1.51482019337235,7.387625084477103
3,2024-03-19 00:05:14.914,501.7615319981132,-326.9110395030838,-6463.891519854873,2326.0420819376,-0.995642163692968,2.603023215878018,7.083550342113599
4,2024-03-19 00:07:18.841,503.3972895845773,-446.8381728603155,-6081.567057790106,3179.202600047862,-0.936778051960222,3.557384753866082,6.663595634253024
5,2024-03-19 00:09:18.631,505.2856259874179,-554.8041922498866,-5603.290662190624,3947.107037078833,-0.86317493067745,4.416075559522461,6.138445222235593
6,2024-03-19 00:11:22.406,507.398896613443,-656.1147873772395,-5005.918579794757,4667.445934130153,-0.7712819769523781,5.221262947722349,5.482820453310298
7,2024-03-19 00:13:36.693,509.6787657205941,-752.0819673530616,-4252.212655307369,5349.455687987376,-0.6553869662362125,5.983306994156684,4.65603035264522
8,2024-03-19 00:15:49.349,511.7062893536931,-830.6337589008529,-3415.661164593591,5907.264488958891,-0.5267969253679822,6.606383634943466,3.738802704156069
9,2024-03-19 00:17:53.124,513.2211862449203,-887.8704019150985,-2568.569268099041,6313.209652470726,-0.3966146732838759,7.059777759253451,2.810372549839193
10,2024-03-19 00:19:57.684,514.2387211915884,-928.7146867932458,-1667.670666160212,6602.245280311488,-0.2581731876470674,7.382674058531006,1.823229053614331
11,2024-03-19 00:22:07.868,514.6508938816878,-952.6119739780568,-692.6442416577694,6770.35764367812,-0.1083267736566399,7.570708903948432,0.7550049634570009
12,2024-03-19 00:24:20.426,514.3240606537865,-956.7148185101374,314.7489918791021,6797.337363574372,0.0465385467573722,7.601369327926996,-0.348703946377691
