,UTC Gregorian,radial (km),theta (rad),azi (rad)
0,2024-03-19 00:00:00.000,6878.0,1.8369701987210294e-16,1.5707963267948966
1,2024-03-19 00:01:00.000,6877.9791725609375,0.009255638569563525,1.505034570861147
2,2024-03-19 00:03:00.753,6877.812910606575,0.028212923120798494,1.3727091015822754
3,2024-03-19 00:05:14.914,6877.444014686366,0.05053190299670504,1.2257788105439376
4,2024-03-19 00:07:18.841,6876.950734393409,0.07334239422335936,1.0902109810484026
5,2024-03-19 00:09:18.631,6876.360076296757,0.09869231467254655,0.9594003590592114
6,2024-03-19 00:11:22.406,6875.664258075544,0.13032492466874412,0.8246205538172182
7,2024-03-19 00:13:36.693,6874.853882761021,0.17505795146661196,0.6791304634870466
8,2024-03-19 00:15:49.349,6874.0430152315275,0.23855328132446849,0.5367832422578807
9,2024-03-19 00:17:53.124,6873.316379424801,0.33280975006660635,0.40650091236304425
10,2024-03-19 00:19:57.684,6872.647172788084,0.5081201928059726,0.28144410147465115
11,2024-03-19 00:22:07.868,6872.0425087290305,0.9421129708723001,0.17224126781350313
12,2024-03-19 00:24:20.426,6871.54752629202,-1.252960433717547,0.14709944705829758
13,2024-03-19 00:26:23.054,6871.208254189093,-0.6493464009895027,0.22877708885007664
14,2024-03-19 00:28:24.552,6870.986352141912,-0.40298418699099414,0.3448318187788589
15,2024-03-19 00:30:30.100,6870.870956842906,-0.2776831722504276,0.47488133935826005
16,2024-03-19 00:32:45.199,6870.860563289436,-0.19929335532700074,0.6190048681815543
17,2024-03-19 00:34:51.152,6870.934326066923,-0.15054699056676626,0.7551466576846283
18,2024-03-19 00:36:51.420,6871.054636467393,-0.11567661436711665,0.8859951009089155
19,2024-03-19 00:38:54.483,6871.2017240577015,-0.08699039830088391,1.0204013185857044
20,2024-03-19 00:40:53.099,6871.342600456343,-0.06352768923346971,1.1502609376360118
21,2024-03-19 00:43:02.483,6871.47105586242,-0.04085272577212587,1.2921308130511262
22,2024-03-19 00:45:03.798,6871.549533576864,-0.021230154922632416,1.4252775404777278
23,2024-03-19 00:47:06.251,6871.576168126703,-0.0021880665269312545,1.559732270454842
24,2024-03-19 00:49:11.984,6871.544710199303,0.01731116201910856,1.6977928452083781
25,2024-03-19 00:51:25.343,6871.450784752434,0.038781325919812815,1.8441669412881154
26,2024-03-19 00:53:30.719,6871.317650383109,0.06063126111587165,1.9816515699413866
27,2024-03-19 00:55:32.165,6871.164709431751,0.08445245555841399,2.1146276497441825
28,2024-03-19 00:57:36.315,6871.006745263901,0.11314924915301916,2.2502399840349554
29,2024-03-19 00:59:34.815,6870.878521868441,0.14710008395621327,2.3791986856851848
30,2024-03-19 01:01:46.274,6870.790856954584,0.1974873312241916,2.5213298941734776
31,2024-03-19 01:03:50.003,6870.786547519121,0.26738644458447747,2.653465766404461
32,2024-03-19 01:05:53.163,6870.879234836213,0.38236444048104645,2.7816402748238045
33,2024-03-19 01:07:58.943,6871.090368383009,0.6173767420746867,2.903415227905414
34,2024-03-19 01:10:11.282,6871.449413283138,1.2450508996353356,2.994178518836163
35,2024-03-19 01:12:16.977,6871.919489839393,-0.9854389254523465,2.9742306750774157
36,2024-03-19 01:14:18.063,6872.48078297852,-0.5451017111248783,2.8761588225362904
37,2024-03-19 01:16:20.927,6873.140508772555,-0.35322816358024733,2.754274924947005
38,2024-03-19 01:18:30.726,6873.907688298787,-0.24735980802627286,2.6181650115007
39,2024-03-19 01:20:38.654,6874.698561867623,-0.183205713865411,2.481097830205925
40,2024-03-19 01:22:40.699,6875.447973232981,-0.14026004396145683,2.3490302727943657
41,2024-03-19 01:24:44.795,6876.166647143431,-0.10679377641776822,2.2140228412126706
42,2024-03-19 01:26:54.155,6876.829386288881,-0.07846713233878928,2.072826089891424
43,2024-03-19 01:29:03.820,6877.367414263431,-0.05419515937846553,1.9310084044173275
44,2024-03-19 01:31:07.349,6877.733500422269,-0.03339752340250448,1.7957378191796596
45,2024-03-19 01:33:10.532,6877.936750556678,-0.013911831223815643,1.660759901911701
46,2024-03-19 01:35:18.277,6877.96627996133,0.005806298728921697,1.5207475214189654
47,2024-03-19 01:37:33.278,6877.796113172046,0.02696631526838641,1.3728056986867068
48,2024-03-19 01:39:38.597,6877.462098756548,0.047753022383590096,1.235555623607647
49,2024-03-19 01:41:39.483,6876.996227097974,0.06978399677168343,1.103298322283625
50,2024-03-19 01:43:42.781,6876.400629614926,0.09553453632415816,0.9686324067122798
51,2024-03-19 01:45:53.924,6875.669299799247,0.12879096267416976,0.8258126184476982
52,2024-03-19 01:48:05.886,6874.874675220803,0.17251228981655584,0.6828240816237505
53,2024-03-19 01:50:11.239,6874.1068744695185,0.23114151321502757,0.5482153464828162
54,2024-03-19 01:52:16.050,6873.367960683888,0.32227446350048955,0.4165579683058081
55,2024-03-19 01:54:23.000,6872.676964373203,0.4926962951016491,0.288467692659839
56,2024-03-19 01:56:33.132,6872.06155722779,0.9033936148286708,0.1771149947610529
57,2024-03-19 01:58:36.089,6871.58595070622,-1.3802883349291175,0.14242085083277323
58,2024-03-19 02:00:35.835,6871.2322226765755,-0.7148736890432523,0.21188713856449737
59,2024-03-19 02:02:38.745,6870.985004030125,-0.43051513643253503,0.32635749179232515
60,2024-03-19 02:04:53.147,6870.843958856528,-0.2861650787232847,0.4648083367065102
61,2024-03-19 02:07:04.018,6870.820848120895,-0.2070200713482448,0.6041852825042285
62,2024-03-19 02:09:04.647,6870.878067581794,-0.15823054338506867,0.7344203027789492
